IngredientId,IngredientName,IngredientTypeEN,Calories,Energy,Fat,SaturatedFat,Carbohydrate,Sugars,Fibre,Protein,Salt,Liquid,Mass,Small,Medium,Large
0,Aubergine - flesh and skin - roasted in rapeseed oil,0,62,260,3.8,0.35,5.2,4.6,0,2.1,5,FALSE,0,0,0,0
0,Aubergine - fried in butter,0,302,1262,31.9,21.10,2.8,2.6,0,1.2,5,FALSE,0,0,0,0
0,Aubergine - fried in corn oil,0,302,1246,31.9,4.10,2.8,2.6,0,1.2,5,FALSE,0,0,0,0
0,Aubergine - fried in rapeseed oil,0,302,1262,31.9,2.18,2.8,2.6,0,1.2,5,FALSE,0,0,0,0
0,Aubergine - raw,0,15,64,0.4,0.10,2.2,2.0,0,0.9,5,FALSE,0,0,0,0
0,Aubergine - stuffed with lentils and vegetables,0,64,267,4.6,0.50,3.9,1.7,0,2.0,197.5,FALSE,0,0,0,0
0,Aubergine - stuffed with rice,0,86,364,2.1,0.22,15.9,6.0,0,1.9,17.5,FALSE,0,0,0,0
0,Aubergine - stuffed with vegetables - cheese topping,0,119,496,9.7,3.48,3.6,3.2,0,5.0,272.5,FALSE,0,0,0,0
0,Avocado - Fuerte - flesh only,0,189,780,19.3,3.50,1.9,0.5,0,2.1,22.5,FALSE,0,0,0,0
0,Avocado - Fuerte - flesh only - weighed with skin and stone,0,134,553,13.7,2.50,1.3,0.4,0,1.5,15,FALSE,0,0,0,0
0,Avocado - Hass - flesh only,0,171,703,17.4,4.15,1.8,0.4,0,1.8,17.5,FALSE,0,0,0,0
0,Avocado - Hass - flesh only - weighed with skin and stone,0,118,486,12,2.86,1.3,0.3,0,1.3,12.5,FALSE,0,0,0,0
0,Ayr - raw,0,75,318,1.3,0,0.0,0.0,0,15.9,0,FALSE,0,0,0,0
0,Babaco - flesh only,0,17,72,0.1,0,3.1,3.1,0,1.1,5,FALSE,0,0,0,0
0,Bacha - raw,0,123,515,5.6,0,0.0,0.0,0,18.1,0,FALSE,0,0,0,0
